acct,event_date,first_txn_date,last_txn_date,total_txns,days_since_last_txn,time_gap_category,account_lifespan
41c6ed2e65529625675e1021b3a28a23e2a8bbec2c89f41c7888acf9c02e0e98,120,100,100,6,20,11-30_DAYS,1
f24f7366cc731c994f40551316485ad1075f3820b05f8c6c3962f836e1af3f52,63,25,47,35,16,11-30_DAYS,23
152ba0778ce791ba434ef464dbc063585462231bdc140bceeefcd3ff18406597,113,78,79,4,34,31-60_DAYS,2
fee56a73830e62ccc91f86974aa93871b468d86ba60eb49c9b9af4037fbb235a,89,3,74,33,15,11-30_DAYS,72
8ddadb03a30aca1d7dba1fffae545dc1d9b8f63cd80512b16824b5772bdd9ea3,33,2,21,15,12,11-30_DAYS,20
ba0eb83856425f4429cac70a81f0ea86b0a94f575614469724ad1c842d954fd0,114,1,86,12,28,11-30_DAYS,86
42600d2069623e531e0a019ca86f731c453dbe9eb8274f27dcc86efc148f5b75,107,4,65,13,42,31-60_DAYS,62
bd96eec214f23c3d68ffee7a58c94ea48d99b0e6fdbf472d5fddf05df5d1acd1,116,78,79,9,37,31-60_DAYS,2
6f335af6a9e1f351f5575c8bba942cbecd3aec046e62bd11ae776a17f89997e6,52,2,31,19,21,11-30_DAYS,30
5a55cddcf0984c419dec721c77f32ebdb2cd4965179f55184d8e3b38f5e3d7fb,71,25,58,12,13,11-30_DAYS,34
60c61b9d3985007ef07487c806972d83aa54f60371c9d8207b679cd6986fc454,68,7,57,21,11,11-30_DAYS,51
5b385b04fdf00b3d7c1b872bd40d15024c640aa1b83683cd0fb5530ccd74bb29,22,6,11,6,11,11-30_DAYS,6
6cf0454b3327d500753f0002f6895cf1e2473346a476c32d8dc35509f285785c,55,32,34,10,21,11-30_DAYS,3
1c872b96e8fc8d535b383c1d325ec4bbc26803d233ca6ca3ade69d8348b57bdd,120,29,72,6,48,31-60_DAYS,44
7e161c0f7bb5ade0dcfe8388a21b82cd4a774beaa3e3c732c17a2d7ced47d319,88,51,54,14,34,31-60_DAYS,4
399c2539349bbee7f6d7f5a0661f86366b44d66d07f21daddae89e2c207bafe5,53,4,23,12,30,11-30_DAYS,20
16074951108db932f8b36f28488a85ac0e8b37af643ef364e86c4bf53b32a52f,71,25,58,8,13,11-30_DAYS,34
4e9ac1f55a7ca59a7926ae15d66bbfadcfbd3c3c01e871bae21cf4c7b43e8c26,106,19,20,4,86,>60_DAYS,2
4a32c63680e396c16b218912c00178f09a6ea6902bfa7d68886610bdf4b90a1c,117,26,30,13,87,>60_DAYS,5
867c3fab2ab8505598af9e4b30edc2a5ba9d073115da34be5defbcdfb3c82ba1,53,25,26,4,27,11-30_DAYS,2
336aef596c5415da35e6a09fc9500cd6b0cb9242d01e0066dd889e91c829eb2d,85,25,74,11,11,11-30_DAYS,50
c33a5b5254c85cedc8dddf4b5f1ef3a16803b24a51b0f231f3c4cbf3b1012387,80,24,68,13,12,11-30_DAYS,45
357c220a082f87e26990f1ab6b4e5f3c1fdf96960324497d40422c2f89163be6,47,20,24,9,23,11-30_DAYS,5
4f779fe4724ca35331142f9a4b0ec4a2a8ddc4586b2ee724bd0395dc88c3a5b2,52,22,38,8,14,11-30_DAYS,17
b5bb0afc0e146368591f29c10814c55715e996152180deaaed9874c2afdd0819,51,20,36,11,15,11-30_DAYS,17
ac166ffbbf2a224dfb9b05e623dfa8fd99b8bb4fef190e7854ca978eb84633c7,34,4,8,3,26,11-30_DAYS,5
79e20c44eb79289bd72e64be1eb30d699db32cb40086f13b7959caa89a707f15,25,2,5,8,20,11-30_DAYS,4
bfd5f6547979f50a34cdb41e027992433698ee99f3508fb86a4d2d9a1fc41241,89,53,54,3,35,31-60_DAYS,2
dffd1611962e3deb37632de10936d782f06137d76d64f67559e04df6d4ffa8c9,114,76,76,2,38,31-60_DAYS,1
b84a5e56ea7f4f3099ca9e216be6ed45e96b1d761193588d710c06a2678bc8cf,109,32,47,93,62,>60_DAYS,16
f013467a54840bee1ce980af9190066c3f4004790d122eefaedd4366a6b1cd8d,86,54,57,6,29,11-30_DAYS,4
0531c63ab212124baae822e75bfcf00df7eff51f428804fb75defe1cb4c17026,92,8,23,6,69,>60_DAYS,16
71c65c3e436f932a813214a765d45bdd540591a244e9035373da7b20d54701d2,29,16,18,7,11,11-30_DAYS,3
c967701ddbb5b6a2fa512ba535b8a55a629d3b76c4e4ddc2d9c53709ff678984,32,13,17,33,15,11-30_DAYS,5
5ca0d1073424400290b0c74e0f1b4aacabef4506e5357518a2818ddc2fa7ef89,29,6,15,3,14,11-30_DAYS,10
db3b42a1fd10297e8bfe0e053d2220a3f7ee956ffbac8f65b50078d0e156b99e,42,10,15,2,27,11-30_DAYS,6
54869cb448b49f038ee8472a0c19519b3d522ef4858ea3a4626552a84a4096df,120,73,74,2,46,31-60_DAYS,2
d7e6e17a6a727521a6aeb58a9a2faea2e98418567fe062eef5ea60f3bee9f74f,77,20,60,8,17,11-30_DAYS,41
2f10c385cdd8d9fc3acb0b1fa0b9833b2291c8fdad9ff81a068c499a9d51a6da,60,17,46,13,14,11-30_DAYS,30
a75659a9283dca9efe6156c4ecf6a70ca9f16edb35528e41b5fade95da4f2e48,50,29,39,14,11,11-30_DAYS,11
73f572e2724fac8e42fafaa3f4535accf9c54208ec9785931e9b10d63a2bc32a,67,2,53,36,14,11-30_DAYS,52
73964aaef9926bab63ffbf4b682fe47f65ca17802c81895e3d1f194df5df2560,70,2,27,13,43,31-60_DAYS,26
7bfd6d1e471bdb195a64b6746ac7e71b8dbc46e1f95918d7748bb0934875a700,88,3,70,5,18,11-30_DAYS,68
222a9481e0a68ac6e11e729f6635b5b3a243ad56369c9d4b4c688aa63a5e2085,25,1,2,3,23,11-30_DAYS,2
236413b16f8accf600ac6df211837f8a93ecf2473192423cb5f974a04d748bb2,86,5,70,23,16,11-30_DAYS,66
8d3b30313d5c2685811b938392ca66f2a53960570234c7034276f0adf489564d,60,10,30,31,30,11-30_DAYS,21
80320b67dcc79f0f6c90f011ce3cb050862d43581823ade1edef805f7fb52126,100,12,87,65,13,11-30_DAYS,76
8cb3ae2ceb045aead50e096f8315a188284347fd39d54bbfff68e9950b61cc36,85,38,73,5,12,11-30_DAYS,36
17c5582c0d69e58e3b4fc0ae45056e4877de838779d4d87ffce47b61380e0005,117,102,103,6,14,11-30_DAYS,2
6c2491ab7edbc9e303a5a3e3e32c879ef5703ad974aaca6e2ec95ae05d2e5120,101,55,58,3,43,31-60_DAYS,4
5ca9095185ae9a83eb8f4b4549d658238b8f257d9400751774730f3eb9fc18e7,107,3,73,19,34,31-60_DAYS,71
96073ad99cb252ae74c6c0c00c89677e4471f53183fc7240fdef9929d69fc028,82,32,32,1,50,31-60_DAYS,1
4242186c5ba3403d65fa07725a22327b8651a76e596f8001e04d6bea4ce8e082,101,79,89,55,12,11-30_DAYS,11
b8bf488916b407e9ca33eebae229d521224429921ef186ed3df54e29f3e80079,78,20,66,7,12,11-30_DAYS,47
7145de8f33a2c4ec28089f15457fb5fcfbdd75e3d9ae424cc5b5784c6426f333,116,100,102,7,14,11-30_DAYS,3
f2cac9772d9ef3249de7851bf3ecde2ddd225ecddd2200fdfb642f21782862fb,32,2,5,14,27,11-30_DAYS,4
070418cdd5c742f7b1ee369f956bc57022e588b4123f7a98d2fd6bfd2807e2c4,120,1,106,52,14,11-30_DAYS,106
c5be95cd6852b70999ef99ef4db4b1c5b2faa213ddf5d8a623e1b2e36e3c225f,33,5,21,6,12,11-30_DAYS,17
60c553afdef1309f99e776daa1860e710b8fc87c8f8e6af8f55120eee399d41e,86,46,57,19,29,11-30_DAYS,12
9639caf8befce49e26cc9808251120d989e5f379c616365c10063ae9100251b3,79,9,9,7,70,>60_DAYS,1
0e869fc17d2479eda3f6ae03ca57becff09c6319c7fbcf2692ed420b120ad639,117,106,106,3,11,11-30_DAYS,1
c666e72d51a51e29b05411afcd76a431120b046a136e0e7c13f3908050d8f35b,112,7,86,8,26,11-30_DAYS,80
e0da3b16997b5e2586b9bc27fb3befb16c1c0da82eefee6244e0ea4f51782c8e,121,13,100,19,21,11-30_DAYS,88
